rank,timestamp_utc,member,model_name,submission,average_precision,roc_auc,log_loss,notes
1,2026-06-14 15:44:56,Joe,XGBoost v1,submissions/joe_xgboost_v1.csv,0.35912635147407995,0.8070591412231263,0.4773436199264237,Kaggle internal mode notebook
2,2026-06-14 15:24:43,Joe,XGBoost v1,submissions/joe_xgboost_v1.csv,0.3591263514740799,0.8070591412231263,0.4773436199264237,Kaggle internal mode notebook
3,2026-06-14 12:48:47,Joe,XGBoost v1,submissions/joe_xgboost_v1.csv,0.3591263514740799,0.8070591412231263,0.4773436199264237,Kaggle internal mode notebook
